step,attempt,obstacle_id,source_mode,target_mode,cost,radius_observation_count
51,0,0,turn_left,constant_velocity,0.012870269107658608,52
51,0,0,turn_left,turn_left,0,52
51,0,0,turn_left,turn_right,0.025678114876868038,52
51,0,0,turn_right,constant_velocity,0.012870269107659251,52
51,0,0,turn_right,turn_left,0.025678114876868038,52
51,0,0,turn_right,turn_right,0,52
52,0,0,constant_velocity,constant_velocity,0,53
52,0,0,constant_velocity,turn_left,0.0128702691076587,53
52,0,0,constant_velocity,turn_right,0.012870269107658674,53
52,0,0,turn_left,constant_velocity,0.0128702691076587,53
52,0,0,turn_left,turn_left,0,53
52,0,0,turn_left,turn_right,0.025678114876867768,53
52,0,0,turn_right,constant_velocity,0.012870269107658674,53
52,0,0,turn_right,turn_left,0.025678114876867768,53
52,0,0,turn_right,turn_right,0,53
53,0,0,constant_velocity,constant_velocity,0,54
53,0,0,constant_velocity,turn_left,0.012870269107658643,54
53,0,0,constant_velocity,turn_right,0.012870269107658674,54
53,0,0,turn_left,constant_velocity,0.012870269107658643,54
53,0,0,turn_left,turn_left,0,54
53,0,0,turn_left,turn_right,0.02567811487686774,54
53,0,0,turn_right,constant_velocity,0.012870269107658674,54
53,0,0,turn_right,turn_left,0.02567811487686774,54
53,0,0,turn_right,turn_right,0,54
54,0,0,constant_velocity,constant_velocity,0,55
54,0,0,constant_velocity,turn_left,0.0128702691076587,55
54,0,0,constant_velocity,turn_right,0.012870269107658674,55
54,0,0,turn_left,constant_velocity,0.0128702691076587,55
54,0,0,turn_left,turn_left,0,55
54,0,0,turn_left,turn_right,0.025678114876867768,55
54,0,0,turn_right,constant_velocity,0.012870269107658674,55
54,0,0,turn_right,turn_left,0.025678114876867768,55
54,0,0,turn_right,turn_right,0,55
55,0,0,constant_velocity,constant_velocity,0,56
55,0,0,constant_velocity,turn_left,0.012870269107658561,56
55,0,0,constant_velocity,turn_right,0.012870269107659251,56
55,0,0,turn_left,constant_velocity,0.012870269107658561,56
55,0,0,turn_left,turn_left,0,56
55,0,0,turn_left,turn_right,0.025678114876868028,56
55,0,0,turn_right,constant_velocity,0.012870269107659251,56
55,0,0,turn_right,turn_left,0.025678114876868028,56
55,0,0,turn_right,turn_right,0,56
56,0,0,constant_velocity,constant_velocity,0,57
56,0,0,constant_velocity,turn_left,0.012870269107658889,57
56,0,0,constant_velocity,turn_right,0.012870269107658889,57
56,0,0,turn_left,constant_velocity,0.012870269107658889,57
56,0,0,turn_left,turn_left,0,57
56,0,0,turn_left,turn_right,0.025678114876868108,57
56,0,0,turn_right,constant_velocity,0.012870269107658889,57
56,0,0,turn_right,turn_left,0.025678114876868108,57
56,0,0,turn_right,turn_right,0,57
57,0,0,constant_velocity,constant_velocity,0,58
57,0,0,constant_velocity,turn_left,0.012870269107658573,58
57,0,0,constant_velocity,turn_right,0.012870269107659251,58
57,0,0,turn_left,constant_velocity,0.012870269107658573,58
57,0,0,turn_left,turn_left,0,58
57,0,0,turn_left,turn_right,0.025678114876868031,58
57,0,0,turn_right,constant_velocity,0.012870269107659251,58
57,0,0,turn_right,turn_left,0.025678114876868031,58
57,0,0,turn_right,turn_right,0,58
58,0,0,constant_velocity,constant_velocity,0,59
58,0,0,constant_velocity,turn_left,0.012870269107658643,59
